env,T,K,method,seed,checkpoint,score,collapsed,n_states,n_rollouts_per_state,median_signed_error,median_absolute_error,median_symmetric_relative_error,ranking_valid_count,ranking_wrong_count,n_nan,n_inf
halfcheetah-medium-v2,10.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau10_mpi2_seed0/params_1000000.pkl,58.00806470122869,0,12,4,-43.717952042482466,43.717952042482466,0.07437809095961381,0,0,0,0
halfcheetah-medium-v2,10.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau10_mpi2_seed1/params_1000000.pkl,58.30389896668813,0,12,4,-60.70256541120483,60.70256541120483,0.10286030808934843,2,1,0,0
halfcheetah-medium-v2,10.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau10_mpi3_seed0/params_1000000.pkl,57.55291286234537,0,12,4,-65.62989217216762,65.62989217216762,0.11964229747449015,6,1,0,0
halfcheetah-medium-v2,10.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau10_mpi3_seed1/params_1000000.pkl,60.66763713855035,0,12,4,-52.07596318870492,52.07596318870492,0.0966102208784343,5,4,0,0
halfcheetah-medium-v2,14.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,61.167643783172046,0,12,4,-49.305433478859925,49.305433478859925,0.08414342498252525,3,1,0,0
halfcheetah-medium-v2,14.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed1/params_1000000.pkl,59.90783117530639,0,12,4,-49.107916711025666,49.107916711025666,0.08439012080778993,1,1,0,0
halfcheetah-medium-v2,14.0,3,mpi3,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau14_mpi3_seed0/params_1000000.pkl,61.38748018124998,0,12,4,-50.89676700636079,50.89676700636079,0.09176131413431768,4,0,0,0
halfcheetah-medium-v2,14.0,3,mpi3,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau14_mpi3_seed1/params_1000000.pkl,60.859146303990485,0,12,4,-54.514951892822126,54.514951892822126,0.09274251387443044,4,3,0,0
halfcheetah-medium-v2,20.0,2,mpi2,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed0/params_1000000.pkl,61.55777396316084,0,12,4,-41.925442979053855,41.925442979053855,0.06925183128545453,2,1,0,0
halfcheetah-medium-v2,20.0,2,mpi2,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed1/params_1000000.pkl,61.949621447087765,0,12,4,-47.13450775642934,47.13450775642934,0.07839319676385163,1,1,0,0
