env,tau,seed,method,total_hops,checkpoint,eval_step,final_critic_loss,max_critic_loss,d4rl_score,q_data_abs_mean,q_data_abs_p99,td_residual_mean,td_residual_p50,td_residual_p90,td_residual_p99,td_target_abs_mean,td_target_abs_p50,td_target_abs_p90,td_target_abs_p99,path_length_mean,path_length_p50,path_length_p90,path_length_p99,chord_length_mean,chord_length_p50,chord_length_p90,chord_length_p99,critic_displacement_sq_mean_metric_mean,critic_displacement_sq_mean_metric_p50,critic_displacement_sq_mean_metric_p90,critic_displacement_sq_mean_metric_p99,final_displacement_sq_mean_metric_mean,final_displacement_sq_mean_metric_p50,final_displacement_sq_mean_metric_p90,final_displacement_sq_mean_metric_p99,decoupling_displacement_ratio,path_tortuosity_mean
halfcheetah-expert-v2,0.05,2,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.05_expl2_seed2/params_1000000.pkl,1000000,89.66648864746094,89.66648864746094,90.9437855260168,862.0262451171875,930.8508911132812,268.53201999887824,17.711896896362305,166.09274291992188,1420.6680969238464,862.4065396306105,895.9308471679688,919.5919799804688,931.4379272460938,0.43495410431933124,0.39989955723285675,0.69458869099617,1.0616827845573438,0.3494189041621212,0.3169783055782318,0.5863507986068726,0.9288926571607591,0.025367877869559408,0.01616528257727623,0.05561438761651516,0.13767308592796335,0.02617592083972653,0.016745874658226967,0.057301223278045654,0.14380693435668948,1.0158014297485352,1.31947922706604
halfcheetah-expert-v2,0.05,3,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.05_expl2_seed3/params_1000000.pkl,1000000,182.3829345703125,182.3829345703125,92.66858543941619,870.4471435546875,940.4008178710938,275.23130572398804,20.337411880493164,170.09906005859375,1405.876892089861,872.334541532211,907.0140075683594,930.1540222167969,942.0657958984375,0.4324085324897169,0.40292714536190033,0.6909039914608002,1.0548965096473704,0.35045537370660895,0.31565676629543304,0.5863989889621735,0.9483455240726477,0.025180760785801226,0.016668024472892284,0.054965559393167496,0.1388104930520062,0.026217388957263665,0.016606533899903297,0.05731062591075897,0.14989328607916852,1.0203759670257568,1.3009059429168701
halfcheetah-expert-v2,0.1,2,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.1_expl2_seed2/params_1000000.pkl,1000000,77.6529541015625,77.6529541015625,90.10321427796553,860.6430053710938,931.1282958984375,210.47278941470358,20.20161724090576,162.15414428710938,1471.0164672851622,861.5848000571132,896.4834289550781,919.5642395019531,930.991146850586,0.4389012204028404,0.405855655670166,0.6915451288223267,1.091995662450791,0.35013951971632196,0.31364427506923676,0.584715873003006,0.9398737043142319,0.025480159119997126,0.01636430062353611,0.055263400077819824,0.14000995159149202,0.026196996492267033,0.016395454294979572,0.05698210746049881,0.14722708761692047,1.013968825340271,1.3300166130065918
halfcheetah-expert-v2,0.1,3,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.1_expl2_seed3/params_1000000.pkl,1000000,237.35458374023438,237.35458374023438,92.67382184476142,882.0619506835938,950.4696655273438,246.7364498006391,18.955470085144043,151.2989044189453,1415.5824401855523,883.5584341604263,918.2466735839844,940.2868347167969,951.9490509033203,0.435342294844304,0.4047052264213562,0.6928156912326813,1.0499813795089752,0.3517534098582473,0.3161550611257553,0.5945552289485931,0.9374589920043956,0.025349098062122266,0.016664650291204453,0.0564236156642437,0.14154004082083704,0.026284295502932764,0.01665900368243456,0.05891599878668785,0.14647186994552647,1.0182790756225586,1.299030065536499
halfcheetah-expert-v2,0.2,2,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.2_expl2_seed2/params_1000000.pkl,1000000,77.59806823730469,77.59806823730469,91.75868570823124,890.5830078125,959.3441772460938,228.6048817544779,14.097400665283203,133.25437927246094,1267.249328613299,890.8752130325884,925.8316955566406,948.2675476074219,958.8376708984376,0.436780377276591,0.4019281417131424,0.6950644850730896,1.0695408999919893,0.34993555027540424,0.31665314733982086,0.5818632543087006,0.9344295531511313,0.025300384264841824,0.01614579651504755,0.05584630370140076,0.13920143097639084,0.026293704745317115,0.01671153772622347,0.056427473202347755,0.14552653506398222,1.0194413661956787,1.3247439861297607
halfcheetah-expert-v2,0.2,3,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.2_expl2_seed3/params_1000000.pkl,1000000,163.67657470703125,163.67657470703125,92.79897918213874,887.7586669921875,956.2566528320312,252.76534415260812,15.892316818237305,147.9420166015625,1475.378723144535,888.72091688402,923.2857360839844,946.0108947753906,957.0628601074219,0.42911715986338095,0.3987687975168228,0.6808976829051971,1.0510074675083168,0.350532528002077,0.3190907984972,0.5829175710678101,0.9389768540859227,0.025187358381895564,0.0164473969489336,0.0546669140458107,0.13842930570244813,0.026183170546687506,0.016969822347164154,0.05663222074508667,0.14694631546735779,1.0195763111114502,1.2865411043167114
halfcheetah-expert-v2,0.4,2,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.4_expl2_seed2/params_1000000.pkl,1000000,63.81621551513672,63.81621551513672,92.14721086226457,899.19921875,967.5979614257812,219.56900805752048,15.349329948425293,126.62687683105469,1187.7908935546911,899.8141449354589,933.6853637695312,956.5238037109375,968.1453338623047,0.43779972137235745,0.4008643627166748,0.6928145289421082,1.081638270616532,0.3518051197715977,0.31949904561042786,0.586520254611969,0.9285925894975663,0.02554416214476163,0.0163737665861845,0.05583675391972065,0.13718675598502186,0.026418816242212984,0.017013272270560265,0.05733433738350868,0.14371403604745867,1.0169761180877686,1.3195431232452393
halfcheetah-expert-v2,0.4,3,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.4_expl2_seed3/params_1000000.pkl,1000000,175.576416015625,175.576416015625,93.88572463762353,901.23876953125,971.6859741210938,198.1244609272635,14.815174102783203,129.05345916748047,1327.6034851074232,902.0383048541844,935.5447082519531,958.9974365234375,971.1940704345703,0.43094783274682413,0.3950771242380142,0.6879116594791412,1.0717779815196997,0.35239886237104656,0.3203994929790497,0.586147278547287,0.931893020868302,0.025168990662514545,0.016163073480129242,0.05570465698838234,0.13516044914722455,0.02630337593570431,0.017109306529164314,0.05726144462823868,0.144737506657839,1.0222868919372559,1.2797099351882935
halfcheetah-expert-v2,0.7,2,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.7_expl2_seed2/params_1000000.pkl,1000000,64.67974853515625,64.67974853515625,92.41988479360869,928.353759765625,997.4060668945312,210.2952711412463,12.222503662109375,127.18428802490234,1201.7499694824235,928.7396334446967,962.8403015136719,985.6704711914062,997.2979217529297,0.44076520939415786,0.40545378625392914,0.6925661265850067,1.0702631652355201,0.35399258125471533,0.32091371715068817,0.5948416888713837,0.9590267241001137,0.025387805665058494,0.016193277202546597,0.05568432807922363,0.13740871772170093,0.026741334641364745,0.017164268530905247,0.05897277221083641,0.15328886210918452,1.026310682296753,1.3292875289916992
halfcheetah-expert-v2,0.7,3,expl2,2,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.7_expl2_seed3/params_1000000.pkl,1000000,128.6722412109375,128.6722412109375,95.2423302897321,929.9805908203125,998.490478515625,227.26112156064937,11.206853866577148,111.16321182250977,1159.2372741699244,930.4440941456705,964.0519409179688,986.3638000488281,997.888265991211,0.43811251758233993,0.40284617245197296,0.6916110515594482,1.0750335752964022,0.3543370283841796,0.32043737173080444,0.5925051271915436,0.9403850913047802,0.02542863909970805,0.016200038604438305,0.05544351227581501,0.14007289558649075,0.026738750113679544,0.01711335126310587,0.05851039104163647,0.14738768413662948,1.0254368782043457,1.304790735244751
