tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,46.3378,58.9961,106.3631
0.1,49.8300,73.5717,106.6936
0.2,48.4205,70.8333,108.3088
0.4,46.9840,84.7534,109.0455
0.7,72.2632,89.3793,109.5771
1.5,95.8991,60.8967,
2.5,92.1169,39.6091,
4,101.7816,61.7267,
7,96.7066,44.5464,
10,76.2973,28.7026,
12,100.9068,31.6187,
14,40.0468,31.3844,
17,1.7641,48.3665,
20,2.1546,35.7285,
24,1.0407,37.3015,
28,0.7135,37.5209,
34,0.6362,61.2322,
40,1.8196,50.5899,
