k,tau,n,mean_d4rl,max_d4rl,seed0,seed1,seed2,seed3
1,0.05,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.1,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.2,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.7,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,4,15.0000,20.0000,20.0000,0.0000,20.0000,20.0000
1,14,4,2.5000,10.0000,10.0000,0.0000,0.0000,0.0000
1,17,4,7.5000,30.0000,30.0000,0.0000,0.0000,0.0000
1,20,4,20.0000,50.0000,30.0000,50.0000,0.0000,0.0000
2,0.05,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.1,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.2,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.7,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,17,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,20,4,2.5000,10.0000,10.0000,0.0000,0.0000,0.0000
3,0.05,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.1,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.2,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.7,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,10,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,12,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,14,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,17,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,20,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.05,2,0.0000,0.0000,0.0000,0.0000,,
4,0.1,2,0.0000,0.0000,0.0000,0.0000,,
4,0.2,2,0.0000,0.0000,0.0000,0.0000,,
4,0.4,2,0.0000,0.0000,0.0000,0.0000,,
4,0.7,2,0.0000,0.0000,0.0000,0.0000,,
4,1.5,2,0.0000,0.0000,0.0000,0.0000,,
4,2.5,2,0.0000,0.0000,0.0000,0.0000,,
4,4,2,0.0000,0.0000,0.0000,0.0000,,
4,7,2,0.0000,0.0000,0.0000,0.0000,,
4,10,2,0.0000,0.0000,0.0000,0.0000,,
4,12,2,0.0000,0.0000,0.0000,0.0000,,
4,14,2,0.0000,0.0000,0.0000,0.0000,,
4,17,2,0.0000,0.0000,0.0000,0.0000,,
4,20,2,0.0000,0.0000,0.0000,0.0000,,
