tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,39.5854,,,42.7403,25.7085,90.0400,,,
0.1,41.3026,,,42.7203,34.0213,89.5316,,,
0.2,,,,43.7176,42.9197,90.3573,,,
0.4,,,,43.8001,43.9017,91.5104,,,
0.7,,,,45.5434,44.6048,89.0759,,,
1.5,,,,46.5876,47.8415,84.4138,,,
2.5,,,,48.7324,48.0917,77.2036,,,
4,,,,52.9789,49.5417,48.1886,,,
7,,,,56.2832,50.7784,40.7361,,,
10,,,,56.0906,54.0438,31.6439,,,
12,,,,58.2485,52.7113,28.3275,,,
14,,,,59.6401,55.4135,9.2321,,,
17,,,,59.4285,55.8027,8.6204,,,
20,,,,63.1141,56.9154,8.8711,,,
